"Story","Title","Result","Date","Stability","Duration (s)"
"Dev","Dev in git repo name","SUCCESS","2022-07-26T04:01:13.935609Z[Etc/UTC]","0.0","0.25"
"Language","Scan string for valid language","SUCCESS","2022-07-26T04:01:14.250944Z[Etc/UTC]","0.0","10.5"
